Id	FunctionName	Annotation
hsa00072	Synthesis_and_degradation_of_ketone_bodies	ACAT1
hsa00072	Synthesis_and_degradation_of_ketone_bodies	ACAT2
hsa00072	Synthesis_and_degradation_of_ketone_bodies	BDH1
hsa00072	Synthesis_and_degradation_of_ketone_bodies	BDH2
hsa00072	Synthesis_and_degradation_of_ketone_bodies	HMGCL
hsa00072	Synthesis_and_degradation_of_ketone_bodies	HMGCLL1
hsa00072	Synthesis_and_degradation_of_ketone_bodies	HMGCS1
hsa00072	Synthesis_and_degradation_of_ketone_bodies	HMGCS2
hsa00072	Synthesis_and_degradation_of_ketone_bodies	OXCT1
hsa00072	Synthesis_and_degradation_of_ketone_bodies	OXCT2
hsa00100	Steroid_biosynthesis	CEL
hsa00100	Steroid_biosynthesis	CYP24A1
hsa00100	Steroid_biosynthesis	CYP27B1
hsa00100	Steroid_biosynthesis	CYP2R1
hsa00100	Steroid_biosynthesis	CYP51A1
hsa00100	Steroid_biosynthesis	DHCR24
hsa00100	Steroid_biosynthesis	DHCR7
hsa00100	Steroid_biosynthesis	FDFT1
hsa00100	Steroid_biosynthesis	HSD17B7
hsa00100	Steroid_biosynthesis	LBR
hsa00100	Steroid_biosynthesis	LIPA
hsa00100	Steroid_biosynthesis	LSS
hsa00100	Steroid_biosynthesis	MSMO1
hsa00100	Steroid_biosynthesis	SC5D
hsa00100	Steroid_biosynthesis	SOAT1
hsa00100	Steroid_biosynthesis	SOAT2
hsa00100	Steroid_biosynthesis	SQLE
hsa00100	Steroid_biosynthesis	TM7SF2
hsa00120	Primary_bile_acid_biosynthesis	ACOT8
hsa00120	Primary_bile_acid_biosynthesis	ACOX2
hsa00120	Primary_bile_acid_biosynthesis	AKR1C4
hsa00120	Primary_bile_acid_biosynthesis	AKR1D1
hsa00120	Primary_bile_acid_biosynthesis	AMACR
hsa00120	Primary_bile_acid_biosynthesis	BAAT
hsa00120	Primary_bile_acid_biosynthesis	CH25H
hsa00120	Primary_bile_acid_biosynthesis	CYP27A1
hsa00120	Primary_bile_acid_biosynthesis	CYP39A1
hsa00120	Primary_bile_acid_biosynthesis	CYP46A1
hsa00120	Primary_bile_acid_biosynthesis	CYP7A1
hsa00120	Primary_bile_acid_biosynthesis	CYP7B1
hsa00120	Primary_bile_acid_biosynthesis	CYP8B1
hsa00120	Primary_bile_acid_biosynthesis	HSD17B4
hsa00120	Primary_bile_acid_biosynthesis	HSD3B7
hsa00120	Primary_bile_acid_biosynthesis	SCP2
hsa00120	Primary_bile_acid_biosynthesis	SLC27A5
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	COQ2
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	COQ3
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	COQ5
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	COQ6
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	COQ7
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	GGCX
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	HPD
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	NQO1
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	TAT
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	VKORC1
hsa00130	Ubiquinone_and_other_terpenoid-quinone_biosynthesis	VKORC1L1
hsa00140	Steroid_hormone_biosynthesis	AKR1C1
hsa00140	Steroid_hormone_biosynthesis	AKR1C2
hsa00140	Steroid_hormone_biosynthesis	AKR1C3
hsa00140	Steroid_hormone_biosynthesis	AKR1C4
hsa00140	Steroid_hormone_biosynthesis	AKR1D1
hsa00140	Steroid_hormone_biosynthesis	COMT
hsa00140	Steroid_hormone_biosynthesis	CYP11A1
hsa00140	Steroid_hormone_biosynthesis	CYP11B1
hsa00140	Steroid_hormone_biosynthesis	CYP11B2
hsa00140	Steroid_hormone_biosynthesis	CYP17A1
hsa00140	Steroid_hormone_biosynthesis	CYP19A1
hsa00140	Steroid_hormone_biosynthesis	CYP1A1
hsa00140	Steroid_hormone_biosynthesis	CYP1A2
hsa00140	Steroid_hormone_biosynthesis	CYP1B1
hsa00140	Steroid_hormone_biosynthesis	CYP21A2
hsa00140	Steroid_hormone_biosynthesis	CYP2E1
hsa00140	Steroid_hormone_biosynthesis	CYP3A4
hsa00140	Steroid_hormone_biosynthesis	CYP3A5
hsa00140	Steroid_hormone_biosynthesis	CYP3A7
