id	name	feature
vip:0000005	EBV	P4HA2
vip:0000005	EBV	P4HA3
vip:0000005	EBV	P4HB
vip:0000005	EBV	PALLD
vip:0000005	EBV	PALM
vip:0000005	EBV	PAX5
vip:0000005	EBV	PBXIP1
vip:0000005	EBV	PCCA
vip:0000005	EBV	PCCB
vip:0000005	EBV	PCNA
vip:0000005	EBV	PCOLCE
vip:0000005	EBV	PDCD6IP
vip:0000005	EBV	PDLIM5
vip:0000005	EBV	PDLIM7
vip:0000005	EBV	PEX14
vip:0000005	EBV	PEX19
vip:0000005	EBV	PFDN1
vip:0000005	EBV	PFKL
vip:0000005	EBV	PFKP
vip:0000005	EBV	PFN2
vip:0000005	EBV	PGRMC2
vip:0000005	EBV	PHLDB2
vip:0000005	EBV	PI4K2A
vip:0000005	EBV	PIAS1
vip:0000005	EBV	PIAS2
vip:0000005	EBV	PIGT
vip:0000005	EBV	PIKFYVE
vip:0000005	EBV	PIN1
vip:0000005	EBV	PITPNM3
vip:0000005	EBV	PJA2
vip:0000005	EBV	PKD2
vip:0000005	EBV	PLD3
vip:0000005	EBV	PLEKHA5
vip:0000005	EBV	PLOD1
vip:0000005	EBV	PLOD2
vip:0000005	EBV	PLXDC2
vip:0000005	EBV	PLXNB2
vip:0000005	EBV	PML
vip:0000005	EBV	PMS2
vip:0000005	EBV	PNKD
vip:0000005	EBV	PNPLA6
vip:0000005	EBV	PON2
vip:0000005	EBV	POP1
vip:0000005	EBV	POU2F1
vip:0000005	EBV	POU2F2
vip:0000005	EBV	PPAPDC2
vip:0000005	EBV	PPFIA1
vip:0000005	EBV	PPM1B
vip:0000005	EBV	PPP6R1
vip:0000005	EBV	PREB
vip:0000005	EBV	PRKACB
vip:0000005	EBV	PRKAR1A
vip:0000005	EBV	PRKCDBP
vip:0000005	EBV	PRMT5
vip:0000005	EBV	PROCR
vip:0000005	EBV	PRPF39
vip:0000005	EBV	PRRC2C
vip:0000005	EBV	PSMA1
vip:0000005	EBV	PSMA2
vip:0000005	EBV	PSMA3
vip:0000005	EBV	PSMA5
vip:0000005	EBV	PSMA6
vip:0000005	EBV	PSMA7
vip:0000005	EBV	PSMB1
vip:0000005	EBV	PSMB7
vip:0000005	EBV	PSMB9
vip:0000005	EBV	PSMC2
vip:0000005	EBV	PSMD1
vip:0000005	EBV	PSMD11
vip:0000005	EBV	PSMD12
vip:0000005	EBV	PSMD13
vip:0000005	EBV	PSMD14
vip:0000005	EBV	PSMD2
vip:0000005	EBV	PSMD3
vip:0000005	EBV	PSMD6
vip:0000005	EBV	PSMD7
vip:0000005	EBV	PSMD8
vip:0000005	EBV	PSME1
vip:0000005	EBV	PSME2
vip:0000005	EBV	PSME4
vip:0000005	EBV	PSMG1
vip:0000005	EBV	PTBP1
vip:0000005	EBV	PTK7
vip:0000005	EBV	PTMA
vip:0000005	EBV	PTPN1
vip:0000005	EBV	PTPRF
vip:0000005	EBV	PTPRK
vip:0000005	EBV	PTTG1IP
vip:0000005	EBV	PYCR2
vip:0000005	EBV	QARS
vip:0000005	EBV	QPCTL
vip:0000005	EBV	QSOX1
vip:0000005	EBV	RAB32
vip:0000005	EBV	RAB34
vip:0000005	EBV	RAB5C
vip:0000005	EBV	RABAC1
vip:0000005	EBV	RAD51
vip:0000005	EBV	RAD52
vip:0000005	EBV	RANBP1
vip:0000005	EBV	RANBP9
vip:0000005	EBV	RAP1A
vip:0000005	EBV	RARA
vip:0000005	EBV	RBBP4
vip:0000005	EBV	RBM25
vip:0000005	EBV	RBMS2
vip:0000005	EBV	RBPJ
vip:0000005	EBV	RBPMS
vip:0000005	EBV	RCN3
vip:0000005	EBV	RDH14
vip:0000005	EBV	RFC3
vip:0000005	EBV	RFTN1
vip:0000005	EBV	RFX1
vip:0000005	EBV	RFX3
vip:0000005	EBV	RHOT1
vip:0000005	EBV	RHOT2
